Angle_deg,Level_linear,Level_dB
-90.000,0.04847800,-26.2891
-89.000,0.05026367,-25.9749
-88.000,0.05190731,-25.6954
-87.000,0.05339167,-25.4505
-86.000,0.05470071,-25.2401
-85.000,0.05582004,-25.0642
-84.000,0.05673746,-24.9226
-83.000,0.05744376,-24.8151
-82.000,0.05793371,-24.7414
-81.000,0.05820729,-24.7005
-80.000,0.05827131,-24.6909
-79.000,0.05814143,-24.7103
-78.000,0.05784458,-24.7547
-77.000,0.05742191,-24.8184
-76.000,0.05693194,-24.8929
-75.000,0.05645372,-24.9661
-74.000,0.05608915,-25.0224
-73.000,0.05596313,-25.0420
-72.000,0.05621992,-25.0022
-71.000,0.05701396,-24.8804
-70.000,0.05849502,-24.6576
-69.000,0.06078975,-24.3234
-68.000,0.06398489,-23.8785
-67.000,0.06811726,-23.3349
-66.000,0.07317313,-22.7130
-65.000,0.07909527,-22.0370
-64.000,0.08579342,-21.3309
-63.000,0.09315440,-20.6159
-62.000,0.10104966,-19.9093
-61.000,0.10934018,-19.2244
-60.000,0.11787916,-18.5713
-59.000,0.12651352,-17.9573
-58.000,0.13508481,-17.3879
-57.000,0.14343013,-16.8672
-56.000,0.15138351,-16.3984
-55.000,0.15877768,-15.9842
-54.000,0.16544680,-15.6268
-53.000,0.17122985,-15.3284
-52.000,0.17597518,-15.0910
-51.000,0.17954618,-14.9165
-50.000,0.18182823,-14.8068
-49.000,0.18273746,-14.7634
-48.000,0.18223146,-14.7875
-47.000,0.18032262,-14.8790
-46.000,0.17709476,-15.0359
-45.000,0.17272353,-15.2530
-44.000,0.16750073,-15.5197
-43.000,0.16186030,-15.8172
-42.000,0.15639933,-16.1153
-41.000,0.15187797,-16.3701
-40.000,0.14917087,-16.5263
-39.000,0.14914284,-16.5280
-38.000,0.15245525,-16.3372
-37.000,0.15937746,-15.9515
-36.000,0.16970953,-15.4059
-35.000,0.18285357,-14.7579
-34.000,0.19796726,-14.0681
-33.000,0.21410831,-13.3873
-32.000,0.23032744,-12.7531
-31.000,0.24571445,-12.1914
-30.000,0.25941788,-11.7200
-29.000,0.27065479,-11.3517
-28.000,0.27872024,-11.0966
-27.000,0.28300144,-10.9642
-26.000,0.28299970,-10.9643
-25.000,0.27836411,-11.1077
-24.000,0.26894413,-11.4068
-23.000,0.25487622,-11.8734
-22.000,0.23673491,-12.5148
-21.000,0.21580815,-13.3186
-20.000,0.19458874,-14.2176
-19.000,0.17748361,-15.0168
-18.000,0.17103416,-15.3383
-17.000,0.18159894,-14.8177
-16.000,0.21092215,-13.5176
-15.000,0.25574171,-11.8440
-14.000,0.31145927,-10.1320
-13.000,0.37429567,-8.5357
-12.000,0.44144184,-7.1025
-11.000,0.51071516,-5.8364
-10.000,0.58028966,-4.7271
-9.000,0.64854812,-3.7612
-8.000,0.71401283,-2.9259
-7.000,0.77531997,-2.2104
-6.000,0.83121705,-1.6057
-5.000,0.88057226,-1.1047
