Ang [deg],Valor [dB]
-180.0,-15.81925423171505
-175.0,-17.56329577639241
-170.0,-19.486575117728684
-165.0,-21.595444958693363
-160.0,-23.764285180295502
-155.0,-25.517490893938557
-150.0,-26.071498328933174
-145.0,-25.328271473370016
-140.0,-24.036737427819062
-135.0,-22.743064446772287
-130.0,-21.61410375488267
-125.0,-20.66467852787659
-120.0,-19.876920299991596
-115.0,-19.23507669690713
-110.0,-18.730015407315875
-105.0,-18.356132092519292
-100.0,-18.108566362704895
-95.0,-17.98240502945928
-90.0,-17.973317367729123
-85.0,-18.078657623260426
-80.0,-18.297933053022955
-75.0,-18.631406515866225
-70.0,-19.0764260710394
-65.0,-19.62350100457493
-60.0,-20.25691579866573
-55.0,-20.964103449149178
-50.0,-21.749966418872987
-45.0,-22.63898080532947
-40.0,-23.6383042834492
-35.0,-24.628778735127305
-30.0,-25.1917052766535
-25.0,-24.723470687392997
-20.0,-23.193631314903328
-15.0,-21.199689644559147
-10.0,-19.201844080622408
-5.0,-17.357470869252396
0.0,-15.679905020547505
5.0,-14.13986975474128
10.0,-12.70363368915216
15.0,-11.345248707696546
20.0,-10.049373146474123
25.0,-8.810299390279518
30.0,-7.629322173941379
35.0,-6.511670894099933
40.0,-5.4638902564948255
45.0,-4.492189807263778
50.0,-3.6018647756901183
55.0,-2.7975367589728597
60.0,-2.0837636559055843
65.0,-1.4655589689235258
70.0,-0.9485207455183181
75.0,-0.5385142282771562
80.0,-0.24105482628091374
85.0,-0.06061127264719516
90.0,0.0
95.0,-0.05995328202787689
100.0,-0.23889857937040843
105.0,-0.5330070681681301
110.0,-0.9366059102460229
115.0,-1.4430155828537619
120.0,-2.045715832985264
125.0,-2.739509515718207
130.0,-3.5212056344315594
135.0,-4.389451642669345
140.0,-5.3437184848573995
145.0,-6.382880327704186
150.0,-7.504090307935639
155.0,-8.702634229340914
160.0,-9.973195737691775
165.0,-11.312565298979305
170.0,-12.723327606924322
175.0,-14.217568765432524
180.0,-15.81925423171505
