Ang [deg],Valor [dB]
-90.0,-33.26497438334892
-89.0,-31.410715044128168
-88.0,-29.78871984461273
-87.0,-28.35825667784998
-86.0,-27.08204048902647
-85.0,-25.93045812109097
-84.0,-24.88072924651778
-83.0,-23.915346345722625
-82.0,-23.02072736528728
-81.0,-22.186201252347104
-80.0,-21.403272301389386
-79.0,-20.66509000460669
-78.0,-19.966064764294863
-77.0,-19.30158632715772
-76.0,-18.66781486774316
-75.0,-18.06152394188458
-74.0,-17.479980909483523
-73.0,-16.920854762661307
-72.0,-16.382144249819287
-71.0,-15.862121214019849
-70.0,-15.359285469934616
-69.0,-14.872328529100223
-68.0,-14.400104182015543
-67.0,-13.941604446789128
-66.0,-13.495939757492241
-65.0,-13.062322531761296
-64.0,-12.640053454435606
-63.0,-12.228509961474636
-62.0,-11.82713651964605
-61.0,-11.435436382131215
-60.0,-11.052964565137092
-59.0,-10.679321840806551
-58.0,-10.314149580810456
-57.0,-9.95712531565141
-56.0,-9.607958898894102
-55.0,-9.266389184743591
-54.0,-8.932181142738587
-53.0,-8.605123345664763
-52.0,-8.285025776773429
-51.0,-7.971717910517456
-50.0,-7.665047027679748
-49.0,-7.364876731273567
-48.0,-7.071085634180623
-47.0,-6.783566193347802
-46.0,-6.50222366863937
-45.0,-6.226975187254648
-44.0,-5.957748897065775
-43.0,-5.694483194381372
-42.0,-5.437126013554771
-41.0,-5.185634167578057
-40.0,-4.939972730366308
-39.0,-4.700114452868027
-38.0,-4.466039206453422
-37.0,-4.23773344824591
-36.0,-4.015189704179905
-35.0,-3.79840606659486
-34.0,-3.5873857041110413
-33.0,-3.3821363823775914
-32.0,-3.1826699950351283
-31.0,-2.989002104891265
-30.0,-2.8011514958669697
-29.0,-2.6191397367313893
-28.0,-2.4429907580039574
-27.0,-2.2727304436650257
-26.0,-2.108386239482456
-25.0,-1.9499867798361215
-24.0,-1.797561534909328
-23.0,-1.6511404800240084
-22.0,-1.5107537887323326
-21.0,-1.376431551051465
-20.0,-1.248203517949909
-19.0,-1.1260988728749484
-18.0,-1.0101460307617822
-17.0,-0.9003724645979454
-16.0,-0.796804559242009
-15.0,-0.6994674918248509
-14.0,-0.6083851377043067
-13.0,-0.5235800006098311
-12.0,-0.44507316531038793
-11.0,-0.3728842708737668
-10.0,-0.30703150236494975
-9.0,-0.24753159865888436
-8.0,-0.194399873923683
-7.0,-0.14765025026431605
-6.0,-0.1072952990065748
-5.0,-0.0733462881444372
-4.0,-0.045813233570449016
-3.0,-0.024704951854462222
-2.0,-0.010029112527721776
-1.0,-0.0017922880618691554
0.0,0.0
1.0,-0.0046567599938196515
2.0,-0.015766104819659947
3.0,-0.033330624780006445
4.0,-0.05735198523870329
5.0,-0.08783094137972788
6.0,-0.124767346614123
7.0,-0.16816015538019985
8.0,-0.21800742138226042
9.0,-0.2743062925860982
10.0,-0.33705300453088105
11.0,-0.40624287372141055
12.0,-0.4818702930291319
13.0,-0.563928731151334
14.0,-0.6524107382549185
15.0,-0.7473079599624592
16.0,-0.8486111618255607
17.0,-0.9563102663747058
18.0,-1.0703944047393348
19.0,-1.190851984700309
20.0,-1.317670776874437
21.0,-1.4508380205431597
22.0,-1.5903405504315857
23.0,-1.736164945527299
24.0,-1.888297700808824
25.0,-2.0467254225397995
26.0,-2.2114350475856095
27.0,-2.3824140870330983
28.0,-2.5596508942502205
29.0,-2.743134957419124
30.0,-2.9328572165218896
31.0,-3.1288104047599683
32.0,-3.3309894144537604
33.0,-3.539391687603699
34.0,-3.7540176315043055
35.0,-3.974871060092387
36.0,-4.201959662084922
37.0,-4.4352954974238665
38.0,-4.674895524098666
39.0,-4.920782158066092
40.0,-5.172983869735143
41.0,-5.431535821338535
42.0,-5.696480550478035
43.0,-5.967868706219085
44.0,-6.2457598453336445
45.0,-6.530223297666671
46.0,-6.821339111154636
47.0,-7.119199088784416
48.0,-7.423907931787259
49.0,-7.735584505666063
50.0,-8.0543632483196
51.0,-8.380395742635791
52.0,-8.71385247958189
53.0,-9.054924842151673
54.0,-9.403827345704286
55.0,-9.760800176452948
56.0,-10.126112077399224
57.0,-10.500063640194849
58.0,-10.882991072677239
59.0,-11.275270525718037
60.0,-11.677323080257576
61.0,-12.089620516895383
62.0,-12.512692017375693
63.0,-12.947131981332614
64.0,-13.393609184838095
65.0,-13.852877562416438
66.0,-14.325788964978312
67.0,-14.813308337596482
68.0,-15.316531879961428
69.0,-15.836708907882766
70.0,-16.375268338777794
71.0,-16.93385099455543
72.0,-17.514349274325735
73.0,-18.11895622696364
74.0,-18.75022668822492
75.0,-19.411153984888735
76.0,-20.1052667955903
77.0,-20.83675211644865
78.0,-21.610611836090957
79.0,-22.432861821450153
80.0,-23.310782510288306
81.0,-24.253225546353328
82.0,-25.270963043902263
83.0,-26.377010148186738
84.0,-27.58668968919381
85.0,-28.916747976185604
86.0,-30.38153036839219
87.0,-31.98064051400503
88.0,-33.66387484328671
89.0,-35.249363952852256
90.0,-36.326007766755005
