Ang [deg],Valor [dB]
-90.0,-44.38807712218279
-89.0,-42.5524800289132
-88.0,-40.986631056451124
-87.0,-39.65027730493937
-86.0,-38.50693438003108
-85.0,-37.52811236751323
-84.0,-36.69247405722052
-83.0,-35.9842624941267
-82.0,-35.391921088137394
-81.0,-34.90700825293341
-80.0,-34.52332067853126
-79.0,-34.23609652686381
-78.0,-34.041143279557524
-77.0,-33.93368526634296
-76.0,-33.90663878856709
-75.0,-33.94791020959009
-74.0,-34.036271167378
-73.0,-34.135732966179965
-72.0,-34.18991318402343
-71.0,-34.121535770057285
-70.0,-33.845993302906706
-69.0,-33.30261645510972
-68.0,-32.48636025269929
-67.0,-31.45048571993668
-66.0,-30.27737572343458
-65.0,-29.045499476410562
-64.0,-27.81313118162234
-63.0,-26.617349733453473
-62.0,-25.47928509696891
-61.0,-24.40980345166952
-60.0,-23.41374211381185
-59.0,-22.492635145313074
-58.0,-21.64634624956195
-57.0,-20.874007483420634
-56.0,-20.174541413308607
-55.0,-19.546938597251074
-54.0,-18.990390376447277
-53.0,-18.504331830022597
-52.0,-18.08842149079276
-51.0,-17.74246541924478
-50.0,-17.466278251893243
-49.0,-17.259459243557785
-48.0,-17.12104457633151
-47.0,-17.048977206832266
-46.0,-17.0393146358254
-45.0,-17.085084613954947
-44.0,-17.174731139110744
-43.0,-17.29023904863017
-42.0,-17.405400496278553
-41.0,-17.48537186826106
-40.0,-17.489413961630326
-39.0,-17.37847746180123
-38.0,-17.126650321481716
-37.0,-16.731130586806053
-36.0,-16.214108463750005
-35.0,-15.615189630283965
-34.0,-14.979776388873717
-33.0,-14.349878639920908
-32.0,-13.759895196947461
-31.0,-13.236346034412545
-30.0,-12.799571239506825
-29.0,-12.465980891410137
-28.0,-12.25022114024811
-27.0,-12.167126573009098
-26.0,-12.233568641001591
-25.0,-12.470397306650426
-24.0,-12.904651666363364
-23.0,-13.57192701698418
-22.0,-14.517367960958987
-21.0,-15.787312627119022
-20.0,-17.37524498629891
-19.0,-18.98767491028043
-18.0,-19.55589672484964
-17.0,-18.10110981590889
-16.0,-15.582708246579994
-15.0,-13.078890363506845
-14.0,-10.888876519414746
-13.0,-9.019762655198685
-12.0,-7.424466177145524
-11.0,-6.0569711343207455
-10.0,-4.88103218246119
-9.0,-3.8693883579674093
-8.0,-3.001655573666788
-7.0,-2.262512641410741
-6.0,-1.6403693751325874
-5.0,-1.1264293218543406
-4.0,-0.7140370459669312
-3.0,-0.39822461213905247
-2.0,-0.1753982031137854
-1.0,-0.04312570225995219
0.0,0.0
1.0,-0.045562519734350736
2.0,-0.18027858256209617
3.0,-0.40556195092922187
4.0,-0.7238511682856938
5.0,-1.138746017584528
6.0,-1.655219507597089
7.0,-2.2799304529035718
8.0,-3.0216754752198627
9.0,-3.892038784094629
10.0,-4.906323561033715
11.0,-6.084871513522034
12.0,-7.454849511536902
13.0,-9.052292632948625
14.0,-10.922728546937773
15.0,-13.112052473428218
16.0,-15.610310317919659
17.0,-18.113544588491298
18.0,-19.549835677771128
19.0,-18.985254865095207
20.0,-17.389844669203317
21.0,-15.816673635326257
22.0,-14.557758247879406
23.0,-13.62100592052036
24.0,-12.961121248548643
25.0,-12.533565282264469
26.0,-12.303098074515242
27.0,-12.242907606887856
28.0,-12.332310947927835
29.0,-12.554585204334007
30.0,-12.895056853605457
31.0,-13.339282114078175
32.0,-13.871124338001158
33.0,-14.470615129749751
34.0,-15.111713588144811
35.0,-15.760564359036447
36.0,-16.37562317539499
37.0,-16.911619201371927
38.0,-17.328479662225984
39.0,-17.602920289527162
40.0,-17.73638650774406
41.0,-17.753719901741484
42.0,-17.69350875024496
43.0,-17.596587301335706
44.0,-17.498199718468573
45.0,-17.425030448495026
46.0,-17.39552123493643
47.0,-17.42156392652847
48.0,-17.510379557649053
49.0,-17.666091397779454
50.0,-17.89088967795765
51.0,-18.185840814241388
52.0,-18.551430420653507
53.0,-18.9879204558854
54.0,-19.49558023410264
55.0,-20.074830916360984
56.0,-20.72632616098003
57.0,-21.45097684137713
58.0,-22.249912608939475
59.0,-23.12435390422265
60.0,-24.0753394547162
61.0,-25.103208483276653
62.0,-26.206663394403144
63.0,-27.38112957509653
64.0,-28.61600143834698
65.0,-29.890335633144204
66.0,-31.167022529473805
67.0,-32.387331805311646
68.0,-33.47179201707112
69.0,-34.336806145361734
70.0,-34.9286529869359
71.0,-35.25349028768752
72.0,-35.374289728863005
73.0,-35.378016206505826
74.0,-35.34371546257781
75.0,-35.32904036365685
76.0,-35.37109614180475
77.0,-35.49235954768841
78.0,-35.70648497443544
79.0,-36.022550090198266
80.0,-36.447858625989625
81.0,-36.989758234995385
82.0,-37.65685320924536
83.0,-38.45980803401324
84.0,-39.41167324643239
85.0,-40.52713824684113
86.0,-41.818774836917015
87.0,-43.2847269327232
88.0,-44.87365604025635
89.0,-46.40288436741144
90.0,-47.4608282270769
